StringID	Type	x	y	demand	pickup_demand	delivery_demand	ReadyTime	DueDate	ServiceTime
C88	c	65.0	60.0	30.0	3	27	807.0	925.0	90.0
C89	c	63.0	58.0	10.0	1	9	899.0	1019.0	90.0
C90	c	60.0	55.0	10.0	1	9	21.0	148.0	90.0
C91	c	60.0	60.0	10.0	0	10	952.0	1123.0	90.0
C92	c	67.0	85.0	20.0	5	15	428.0	550.0	90.0
C93	c	65.0	85.0	40.0	10	30	510.0	652.0	90.0
C94	c	65.0	82.0	10.0	3	7	340.0	450.0	90.0
C95	c	62.0	80.0	30.0	7	23	247.0	357.0	90.0
C96	c	60.0	80.0	10.0	3	7	143.0	277.0	90.0
C97	c	60.0	85.0	30.0	9	21	614.0	738.0	90.0
C98	c	58.0	75.0	20.0	5	15	147.0	281.0	90.0
C99	c	55.0	80.0	10.0	4	6	805.0	927.0	90.0
C100	c	55.0	85.0	20.0	8	12	717.0	825.0	90.0

Q Vehicle fuel tank capacity /79.69
C Vehicle load capacity /200.0
r fuel consumption rate /1.0
g inverse refueling rate /3.39
v average Velocity /1.0
